temperature,pression,target,temp_m-1,temp_m-2,temp_m-3,temp_m-4,temp_m-5,temp_m-6,temp_m-7,temp_m-8,temp_m-9,city_London,city_Paris,city_Washington
283.48,1004,283.48,283.43,283.43,283.43,283.46,283.42,283.42,283.42,283.33,283.33,1,0,0
283.43,1004,283.48,283.43,283.43,283.46,283.42,283.42,283.42,283.33,283.33,283.33,1,0,0
283.43,1004,283.43,283.43,283.46,283.42,283.42,283.42,283.33,283.33,283.33,283.31,1,0,0
283.43,1004,283.43,283.46,283.42,283.42,283.42,283.33,283.33,283.33,283.31,283.27,1,0,0
283.46,1004,283.43,283.42,283.42,283.42,283.33,283.33,283.33,283.31,283.27,283.27,1,0,0
283.42,1004,283.46,283.42,283.42,283.33,283.33,283.33,283.31,283.27,283.27,283.28,1,0,0
283.42,1004,283.42,283.42,283.33,283.33,283.33,283.31,283.27,283.27,283.28,283.28,1,0,0
283.42,1004,283.42,283.33,283.33,283.33,283.31,283.27,283.27,283.28,283.28,283.28,1,0,0
283.33,1005,283.42,283.33,283.33,283.31,283.27,283.27,283.28,283.28,283.28,283.28,1,0,0
283.33,1005,283.33,283.33,283.31,283.27,283.27,283.28,283.28,283.28,283.28,283.29,1,0,0
283.33,1005,283.33,283.31,283.27,283.27,283.28,283.28,283.28,283.28,283.29,283.29,1,0,0
283.31,1005,283.33,283.27,283.27,283.28,283.28,283.28,283.28,283.29,283.29,283.29,1,0,0
283.27,1005,283.31,283.27,283.28,283.28,283.28,283.28,283.29,283.29,283.29,283.29,1,0,0
283.27,1005,283.27,283.28,283.28,283.28,283.28,283.29,283.29,283.29,283.29,282.51,1,0,0
283.28,1005,283.27,283.28,283.28,283.28,283.29,283.29,283.29,283.29,282.51,282.51,1,0,0
283.28,1005,283.28,283.28,283.28,283.29,283.29,283.29,283.29,282.51,282.51,282.51,1,0,0
283.28,1005,283.28,283.28,283.29,283.29,283.29,283.29,282.51,282.51,282.51,282.51,1,0,0
283.28,1005,283.28,283.29,283.29,283.29,283.29,282.51,282.51,282.51,282.51,282.51,1,0,0
283.29,1005,283.28,283.29,283.29,283.29,282.51,282.51,282.51,282.51,282.51,282.51,1,0,0
283.29,1005,283.29,283.29,283.29,282.51,282.51,282.51,282.51,282.51,282.51,282.41,1,0,0
283.29,1005,283.29,283.29,282.51,282.51,282.51,282.51,282.51,282.51,282.41,282.19,1,0,0
283.29,1005,283.29,282.51,282.51,282.51,282.51,282.51,282.51,282.41,282.19,282.19,1,0,0
282.51,1006,283.29,282.51,282.51,282.51,282.51,282.51,282.41,282.19,282.19,282.15,1,0,0
282.51,1006,282.51,282.51,282.51,282.51,282.51,282.41,282.19,282.19,282.15,282.15,1,0,0
282.51,1006,282.51,282.51,282.51,282.51,282.41,282.19,282.19,282.15,282.15,282.15,1,0,0
282.51,1006,282.51,282.51,282.51,282.41,282.19,282.19,282.15,282.15,282.15,282.14,1,0,0
282.51,1006,282.51,282.51,282.41,282.19,282.19,282.15,282.15,282.15,282.14,282.14,1,0,0
282.51,1006,282.51,282.41,282.19,282.19,282.15,282.15,282.15,282.14,282.14,282.14,1,0,0
282.41,1007,282.51,282.19,282.19,282.15,282.15,282.15,282.14,282.14,282.14,282.14,1,0,0
282.19,1007,282.41,282.19,282.15,282.15,282.15,282.14,282.14,282.14,282.14,282.14,1,0,0
282.19,1007,282.19,282.15,282.15,282.15,282.14,282.14,282.14,282.14,282.14,282.14,1,0,0
282.15,1007,282.19,282.15,282.15,282.14,282.14,282.14,282.14,282.14,282.14,282.14,1,0,0
282.15,1007,282.15,282.15,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,1,0,0
282.15,1007,282.15,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,1,0,0
282.14,1007,282.15,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.16,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.16,282.16,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.14,282.14,282.14,282.16,282.16,282.16,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.14,282.14,282.16,282.16,282.16,282.16,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.14,282.16,282.16,282.16,282.16,282.16,1,0,0
282.14,1007,282.14,282.14,282.14,282.14,282.16,282.16,282.16,282.16,282.16,282.16,1,0,0
282.14,1007,282.14,282.14,282.14,282.16,282.16,282.16,282.16,282.16,282.16,282.16,1,0,0
282.14,1007,282.14,282.14,282.16,282.16,282.16,282.16,282.16,282.16,282.16,282.1,1,0,0
282.14,1007,282.14,282.16,282.16,282.16,282.16,282.16,282.16,282.16,282.1,282.1,1,0,0
282.16,1007,282.14,282.16,282.16,282.16,282.16,282.16,282.16,282.1,282.1,282.1,1,0,0
282.16,1007,282.16,282.16,282.16,282.16,282.16,282.16,282.1,282.1,282.1,282.1,1,0,0
282.16,1007,282.16,282.16,282.16,282.16,282.16,282.1,282.1,282.1,282.1,282.1,1,0,0
282.16,1007,282.16,282.16,282.16,282.16,282.1,282.1,282.1,282.1,282.1,282.11,1,0,0
282.16,1007,282.16,282.16,282.16,282.1,282.1,282.1,282.1,282.1,282.11,282.11,1,0,0
282.16,1007,282.16,282.16,282.1,282.1,282.1,282.1,282.1,282.11,282.11,282.11,1,0,0
282.16,1007,282.16,282.1,282.1,282.1,282.1,282.1,282.11,282.11,282.11,282.11,1,0,0
282.1,1007,282.16,282.1,282.1,282.1,282.1,282.11,282.11,282.11,282.11,282.07,1,0,0
282.17,1007,282.12,282.17,282.17,282.17,282.04,282.04,282.04,282.04,282.08,281.45,0,1,0
282.17,1007,282.17,282.17,282.17,282.04,282.04,282.04,282.04,282.08,281.45,281.45,0,1,0
282.17,1007,282.17,282.17,282.04,282.04,282.04,282.04,282.08,281.45,281.45,281.45,0,1,0
282.17,1007,282.17,282.04,282.04,282.04,282.04,282.08,281.45,281.45,281.45,281.28,0,1,0
282.04,1007,282.17,282.04,282.04,282.04,282.08,281.45,281.45,281.45,281.28,281.29,0,1,0
282.04,1007,282.04,282.04,282.04,282.08,281.45,281.45,281.45,281.28,281.29,281.29,0,1,0
282.04,1007,282.04,282.04,282.08,281.45,281.45,281.45,281.28,281.29,281.29,281.29,0,1,0
282.04,1007,282.04,282.08,281.45,281.45,281.45,281.28,281.29,281.29,281.29,281.29,0,1,0
282.08,1007,282.04,281.45,281.45,281.45,281.28,281.29,281.29,281.29,281.29,281.29,0,1,0
281.45,1008,282.08,281.45,281.45,281.28,281.29,281.29,281.29,281.29,281.29,281.64,0,1,0
281.45,1008,281.45,281.45,281.28,281.29,281.29,281.29,281.29,281.29,281.64,281.37,0,1,0
281.45,1008,281.45,281.28,281.29,281.29,281.29,281.29,281.29,281.64,281.37,281.37,0,1,0
281.28,1008,281.45,281.29,281.29,281.29,281.29,281.29,281.64,281.37,281.37,281.37,0,1,0
281.29,1008,281.28,281.29,281.29,281.29,281.29,281.64,281.37,281.37,281.37,280.53,0,1,0
281.29,1008,281.29,281.29,281.29,281.29,281.64,281.37,281.37,281.37,280.53,280.53,0,1,0
281.29,1008,281.29,281.29,281.29,281.64,281.37,281.37,281.37,280.53,280.53,280.53,0,1,0
281.29,1008,281.29,281.29,281.64,281.37,281.37,281.37,280.53,280.53,280.53,280.53,0,1,0
281.29,1008,281.29,281.64,281.37,281.37,281.37,280.53,280.53,280.53,280.53,280.53,0,1,0
281.64,1008,281.29,281.37,281.37,281.37,280.53,280.53,280.53,280.53,280.53,280.53,0,1,0
281.37,1008,281.64,281.37,281.37,280.53,280.53,280.53,280.53,280.53,280.53,280.02,0,1,0
281.37,1008,281.37,281.37,280.53,280.53,280.53,280.53,280.53,280.53,280.02,279.75,0,1,0
281.37,1008,281.37,280.53,280.53,280.53,280.53,280.53,280.53,280.02,279.75,279.75,0,1,0
280.53,1008,281.37,280.53,280.53,280.53,280.53,280.53,280.02,279.75,279.75,280.15,0,1,0
280.53,1008,280.53,280.53,280.53,280.53,280.53,280.02,279.75,279.75,280.15,280.15,0,1,0
280.53,1008,280.53,280.53,280.53,280.53,280.02,279.75,279.75,280.15,280.15,280.15,0,1,0
280.53,1008,280.53,280.53,280.53,280.02,279.75,279.75,280.15,280.15,280.15,280.12,0,1,0
280.53,1008,280.53,280.53,280.02,279.75,279.75,280.15,280.15,280.15,280.12,280.12,0,1,0
280.53,1008,280.53,280.02,279.75,279.75,280.15,280.15,280.15,280.12,280.12,279.9,0,1,0
280.02,1008,280.53,279.75,279.75,280.15,280.15,280.15,280.12,280.12,279.9,280.15,0,1,0
279.75,1008,280.02,279.75,280.15,280.15,280.15,280.12,280.12,279.9,280.15,280.12,0,1,0
279.75,1008,279.75,280.15,280.15,280.15,280.12,280.12,279.9,280.15,280.12,280.12,0,1,0
280.15,1008,279.75,280.15,280.15,280.12,280.12,279.9,280.15,280.12,280.12,280.12,0,1,0
280.15,1008,280.15,280.15,280.12,280.12,279.9,280.15,280.12,280.12,280.12,280.12,0,1,0
280.15,1008,280.15,280.12,280.12,279.9,280.15,280.12,280.12,280.12,280.12,280.12,0,1,0
280.12,1008,280.15,280.12,279.9,280.15,280.12,280.12,280.12,280.12,280.12,279.96,0,1,0
280.12,1008,280.12,279.9,280.15,280.12,280.12,280.12,280.12,280.12,279.96,279.96,0,1,0
279.9,1008,280.12,280.15,280.12,280.12,280.12,280.12,280.12,279.96,279.96,279.96,0,1,0
280.15,1008,279.9,280.12,280.12,280.12,280.12,280.12,279.96,279.96,279.96,279.96,0,1,0
280.12,1008,280.15,280.12,280.12,280.12,280.12,279.96,279.96,279.96,279.96,279.96,0,1,0
280.12,1008,280.12,280.12,280.12,280.12,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
280.12,1008,280.12,280.12,280.12,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
280.12,1008,280.12,280.12,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
280.12,1008,280.12,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
279.96,1008,280.12,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
279.96,1008,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
279.96,1008,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
279.96,1008,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
279.96,1008,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.84,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.84,279.96,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.96,279.96,279.84,279.96,279.96,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.96,279.84,279.96,279.96,279.27,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.96,279.84,279.96,279.96,279.27,279.27,0,1,0
279.96,1009,279.96,279.96,279.96,279.96,279.84,279.96,279.96,279.27,279.27,279.27,0,1,0
270.22,1039,270.22,269.97,269.97,269.97,269.73,269.73,269.73,269.73,270.55,270.55,0,0,1
269.97,1039,270.22,269.97,269.97,269.73,269.73,269.73,269.73,270.55,270.55,270.55,0,0,1
269.97,1039,269.97,269.97,269.73,269.73,269.73,269.73,270.55,270.55,270.55,270.55,0,0,1
269.97,1039,269.97,269.73,269.73,269.73,269.73,270.55,270.55,270.55,270.55,270.81,0,0,1
269.73,1039,269.97,269.73,269.73,269.73,270.55,270.55,270.55,270.55,270.81,270.81,0,0,1
269.73,1039,269.73,269.73,269.73,270.55,270.55,270.55,270.55,270.81,270.81,270.81,0,0,1
269.73,1039,269.73,269.73,270.55,270.55,270.55,270.55,270.81,270.81,270.81,270.81,0,0,1
269.73,1039,269.73,270.55,270.55,270.55,270.55,270.81,270.81,270.81,270.81,270.81,0,0,1
270.55,1039,269.73,270.55,270.55,270.55,270.81,270.81,270.81,270.81,270.81,270.81,0,0,1
270.55,1039,270.55,270.55,270.55,270.81,270.81,270.81,270.81,270.81,270.81,271.21,0,0,1
270.55,1039,270.55,270.55,270.81,270.81,270.81,270.81,270.81,270.81,271.21,271.21,0,0,1
270.55,1039,270.55,270.81,270.81,270.81,270.81,270.81,270.81,271.21,271.21,271.21,0,0,1
270.81,1039,270.55,270.81,270.81,270.81,270.81,270.81,271.21,271.21,271.21,271.21,0,0,1
270.81,1039,270.81,270.81,270.81,270.81,270.81,271.21,271.21,271.21,271.21,273.05,0,0,1
270.81,1039,270.81,270.81,270.81,270.81,271.21,271.21,271.21,271.21,273.05,273.05,0,0,1
270.81,1039,270.81,270.81,270.81,271.21,271.21,271.21,271.21,273.05,273.05,273.05,0,0,1
270.81,1039,270.81,270.81,271.21,271.21,271.21,271.21,273.05,273.05,273.05,273.05,0,0,1
270.81,1039,270.81,271.21,271.21,271.21,271.21,273.05,273.05,273.05,273.05,273.05,0,0,1
271.21,1039,270.81,271.21,271.21,271.21,273.05,273.05,273.05,273.05,273.05,273.05,0,0,1
271.21,1039,271.21,271.21,271.21,273.05,273.05,273.05,273.05,273.05,273.05,273.24,0,0,1
271.21,1039,271.21,271.21,273.05,273.05,273.05,273.05,273.05,273.05,273.24,273.12,0,0,1
271.21,1039,271.21,273.05,273.05,273.05,273.05,273.05,273.05,273.24,273.12,273.12,0,0,1
273.05,1037,271.21,273.05,273.05,273.05,273.05,273.05,273.24,273.12,273.12,273.12,0,0,1
273.05,1037,273.05,273.05,273.05,273.05,273.05,273.24,273.12,273.12,273.12,273.12,0,0,1
273.05,1037,273.05,273.05,273.05,273.05,273.24,273.12,273.12,273.12,273.12,273.51,0,0,1
273.05,1037,273.05,273.05,273.05,273.24,273.12,273.12,273.12,273.12,273.51,273.57,0,0,1
273.05,1037,273.05,273.05,273.24,273.12,273.12,273.12,273.12,273.51,273.57,273.57,0,0,1
273.05,1037,273.05,273.24,273.12,273.12,273.12,273.12,273.51,273.57,273.57,273.57,0,0,1
273.24,1037,273.05,273.12,273.12,273.12,273.12,273.51,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.24,273.12,273.12,273.12,273.51,273.57,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.12,273.12,273.12,273.51,273.57,273.57,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.12,273.12,273.51,273.57,273.57,273.57,273.57,273.57,273.57,273.57,0,0,1
273.12,1036,273.12,273.51,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.57,0,0,1
273.51,1036,273.12,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.38,0,0,1
273.57,1036,273.51,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.57,273.57,273.57,273.38,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.57,273.57,273.38,273.38,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.57,273.38,273.38,273.38,273.38,273.38,0,0,1
273.57,1036,273.57,273.57,273.57,273.57,273.38,273.38,273.38,273.38,273.38,273.33,0,0,1
273.57,1036,273.57,273.57,273.57,273.38,273.38,273.38,273.38,273.38,273.33,273.33,0,0,1
273.57,1036,273.57,273.57,273.38,273.38,273.38,273.38,273.38,273.33,273.33,273.33,0,0,1
273.57,1036,273.57,273.38,273.38,273.38,273.38,273.38,273.33,273.33,273.33,273.33,0,0,1
273.38,1036,273.57,273.38,273.38,273.38,273.38,273.33,273.33,273.33,273.33,273.33,0,0,1
273.38,1036,273.38,273.38,273.38,273.38,273.33,273.33,273.33,273.33,273.33,272.92,0,0,1
273.38,1036,273.38,273.38,273.38,273.33,273.33,273.33,273.33,273.33,272.92,272.92,0,0,1
273.38,1036,273.38,273.38,273.33,273.33,273.33,273.33,273.33,272.92,272.92,272.92,0,0,1
273.38,1036,273.38,273.33,273.33,273.33,273.33,273.33,272.92,272.92,272.92,272.92,0,0,1
273.33,1036,273.38,273.33,273.33,273.33,273.33,272.92,272.92,272.92,272.92,272.92,0,0,1
273.33,1036,273.33,273.33,273.33,273.33,272.92,272.92,272.92,272.92,272.92,273.33,0,0,1
273.33,1036,273.33,273.33,273.33,272.92,272.92,272.92,272.92,272.92,273.33,272.92,0,0,1
273.33,1036,273.33,273.33,272.92,272.92,272.92,272.92,272.92,273.33,272.92,272.92,0,0,1
273.33,1036,273.33,272.92,272.92,272.92,272.92,272.92,273.33,272.92,272.92,272.92,0,0,1
272.92,1036,273.33,272.92,272.92,272.92,272.92,273.33,272.92,272.92,272.92,272.92,0,0,1
272.92,1036,272.92,272.92,272.92,272.92,273.33,272.92,272.92,272.92,272.92,272.97,0,0,1
